
20120108,1657,+1000,Setup.groovy,running,1,in 1m 4s
20120108,1657,+1000,Setup.groovy,succeeded,18,
20120108,1657,+1000,Test.groovy,running,2,
20120108,1657,+1000,Test.groovy,succeeded,13,
20120108,1657,+1000,Setup.groovy,running,0,in 33s
20120108,1657,+1000,Setup.groovy,succeeded,5,
20120108,1657,+1000,Test.groovy,running,1,
20120108,1657,+1000,Test.groovy,succeeded,2,
20120108,1700,+1000,Setup.groovy,running,0,in 8s
20120108,1700,+1000,Setup.groovy,succeeded,19,
20120108,1700,+1000,Test.groovy,running,1,
20120108,1700,+1000,Test.groovy,succeeded,16,
20120108,1701,+1000,Setup.groovy,running,231,231ms
20120108,1701,+1000,Setup.groovy,succeeded,29,
20120108,1701,+1000,Test.groovy,running,3,
20120108,1701,+1000,Test.groovy,succeeded,23,
20120108,1709,+1000,Setup.groovy,running,0,in 29s
20120108,1709,+1000,Setup.groovy,succeeded,19,
20120108,1709,+1000,Test.groovy,running,2,
20120108,1709,+1000,Test.groovy,succeeded,14,
20120108,1714,+1000,Setup.groovy,running,0,in 23s
20120108,1714,+1000,Setup.groovy,succeeded,20,
20120108,1714,+1000,Test.groovy,running,1,
20120108,1714,+1000,Test.groovy,succeeded,14,
20120108,1734,+1000,Setup.groovy,running,221,221ms
20120108,1734,+1000,Setup.groovy,succeeded,37,
20120108,1734,+1000,Test.groovy,running,4,
20120108,1734,+1000,Test.groovy,succeeded,26,
20120108,1736,+1000,Setup.groovy,running,0,in 10s
20120108,1736,+1000,Setup.groovy,succeeded,17,
20120108,1736,+1000,Test.groovy,running,1,
20120108,1736,+1000,Test.groovy,succeeded,13,
